item_number,status,task_name,description,target_directory,search_pattern
001,COMPLETE,fix-absolute-paths,Replace Windows-style and absolute paths with relative paths,docs/htm,\\auntruth\\htm\\
002,COMPLETE,fix-auntruuth-paths,Convert /AuntRuth/ references to work from /auntruth/ base,docs/htm,/AuntRuth/
003,COMPLETE,remove-cgi-counters,Remove CGI counter script references,docs/htm,/cgi-bin/counter.pl
004,COMPLETE,modernize-java-applets,Modernize Java applet sound players for modern browsers,docs/htm,.au
005,IN PROGRESS,fix-background-image-paths,Correct background image relative paths,docs/htm,../jpg/backruth.jpg
006,INCOMPLETE,fix-css-references,Update CSS references to use proper relative paths,docs/htm,/AuntRuth/css/
007,INCOMPLETE,create-modern-index,Replace main index.html with cleaner version,docs,index.html
008,INCOMPLETE,remove-vml-references,Remove VML (Vector Markup Language) references,docs/htm,xmlns:v=
009,INCOMPLETE,remove-office-xml,Remove Microsoft Office-specific XML islands,docs/htm,xmlns:o=
010,INCOMPLETE,add-utf8-charset,Add UTF-8 charset declarations to HTML files,docs/htm,<meta
011,INCOMPLETE,add-doctype,Add proper DOCTYPE declarations,docs/htm,<!DOCTYPE
012,INCOMPLETE,fix-case-sensitivity,Fix case sensitivity issues for GitHub Pages,docs/htm,*.htm
013,INCOMPLETE,optimize-large-files,Optimize large index files (>400KB),docs/htm,index.htm
014,INCOMPLETE,create-404-page,Create custom 404.html page,docs,404.html
015,INCOMPLETE,add-mobile-css,Add responsive mobile-friendly CSS,docs,css/
